	finished	start_time	finish_time	comment	ID	mode	cont_url	line_url	out_url
0	TRUE	 	 	 	2925372393	line1	./Data/real_data/00-B-2925372393/cont.dat	./Data/real_data/00-B-2925372393/MGII.dat	./Data/real_data/00-B-2925372393/
1	TRUE	 	 	 	2925372393	line2	./Data/real_data/00-B-2925372393/cont.dat	./Data/real_data/00-B-2925372393/CIV.dat	./Data/real_data/00-B-2925372393/
2	TRUE	 	 	 	2925373860	line1	./Data/real_data/01-B-2925373860/cont.dat	./Data/real_data/01-B-2925373860/MGII.dat	./Data/real_data/01-B-2925373860/
3	TRUE	 	 	 	2925373860	line2	./Data/real_data/01-B-2925373860/cont.dat	./Data/real_data/01-B-2925373860/CIV.dat	./Data/real_data/01-B-2925373860/
4	FALSE	 	 	 	2925375402	line1	./Data/real_data/02-B-2925375402/cont.dat	./Data/real_data/02-B-2925375402/MGII.dat	./Data/real_data/02-B-2925375402/
5	TRUE	 	 	 	2925375402	line2	./Data/real_data/02-B-2925375402/cont.dat	./Data/real_data/02-B-2925375402/CIV.dat	./Data/real_data/02-B-2925375402/
6	TRUE	 	 	 	2925420688	line1	./Data/real_data/03-B-2925420688/cont.dat	./Data/real_data/03-B-2925420688/MGII.dat	./Data/real_data/03-B-2925420688/
7	TRUE	 	 	 	2925420688	line2	./Data/real_data/03-B-2925420688/cont.dat	./Data/real_data/03-B-2925420688/CIV.dat	./Data/real_data/03-B-2925420688/
8	TRUE	 	 	 	2925515125	line1	./Data/real_data/04-B-2925515125/cont.dat	./Data/real_data/04-B-2925515125/MGII.dat	./Data/real_data/04-B-2925515125/
9	TRUE	 	 	 	2925515125	line2	./Data/real_data/04-B-2925515125/cont.dat	./Data/real_data/04-B-2925515125/CIV.dat	./Data/real_data/04-B-2925515125/
10	TRUE	 	 	 	2925523772	line1	./Data/real_data/05-B-2925523772/cont.dat	./Data/real_data/05-B-2925523772/MGII.dat	./Data/real_data/05-B-2925523772/
11	FALSE	 	 	 	2925523772	line2	./Data/real_data/05-B-2925523772/cont.dat	./Data/real_data/05-B-2925523772/CIV.dat	./Data/real_data/05-B-2925523772/
12	FALSE	 	 	 	2925551147	line1	./Data/real_data/06-B-2925551147/cont.dat	./Data/real_data/06-B-2925551147/MGII.dat	./Data/real_data/06-B-2925551147/
13	TRUE	 	 	 	2925551147	line2	./Data/real_data/06-B-2925551147/cont.dat	./Data/real_data/06-B-2925551147/CIV.dat	./Data/real_data/06-B-2925551147/
14	TRUE	 	 	 	2925552152	line1	./Data/real_data/07-A-2925552152/cont.dat	./Data/real_data/07-A-2925552152/Hbeta.dat	./Data/real_data/07-A-2925552152/
15	TRUE	 	 	 	2925552152	line2	./Data/real_data/07-A-2925552152/cont.dat	./Data/real_data/07-A-2925552152/MGII.dat	./Data/real_data/07-A-2925552152/
16	TRUE	 	 	 	2925606181	line1	./Data/real_data/08-B-2925606181/cont.dat	./Data/real_data/08-B-2925606181/MGII.dat	./Data/real_data/08-B-2925606181/
17	TRUE	 	 	 	2925606181	line2	./Data/real_data/08-B-2925606181/cont.dat	./Data/real_data/08-B-2925606181/CIV.dat	./Data/real_data/08-B-2925606181/
18	TRUE	 	 	 	2925609647	line1	./Data/real_data/09-B-2925609647/cont.dat	./Data/real_data/09-B-2925609647/MGII.dat	./Data/real_data/09-B-2925609647/
19	TRUE	 	 	 	2925609647	line2	./Data/real_data/09-B-2925609647/cont.dat	./Data/real_data/09-B-2925609647/CIV.dat	./Data/real_data/09-B-2925609647/
20	TRUE	 	 	 	2925637387	line1	./Data/real_data/10-B-2925637387/cont.dat	./Data/real_data/10-B-2925637387/MGII.dat	./Data/real_data/10-B-2925637387/
21	TRUE	 	 	 	2925637387	line2	./Data/real_data/10-B-2925637387/cont.dat	./Data/real_data/10-B-2925637387/CIV.dat	./Data/real_data/10-B-2925637387/
22	TRUE	 	 	 	2925674035	line1	./Data/real_data/11-B-2925674035/cont.dat	./Data/real_data/11-B-2925674035/MGII.dat	./Data/real_data/11-B-2925674035/
23	TRUE	 	 	 	2925674035	line2	./Data/real_data/11-B-2925674035/cont.dat	./Data/real_data/11-B-2925674035/CIV.dat	./Data/real_data/11-B-2925674035/
24	TRUE	 	 	 	2925685619	line1	./Data/real_data/12-B-2925685619/cont.dat	./Data/real_data/12-B-2925685619/MGII.dat	./Data/real_data/12-B-2925685619/
25	FALSE	 	 	 	2925685619	line2	./Data/real_data/12-B-2925685619/cont.dat	./Data/real_data/12-B-2925685619/CIV.dat	./Data/real_data/12-B-2925685619/
26	TRUE	 	 	 	2925693212	line1	./Data/real_data/13-B-2925693212/cont.dat	./Data/real_data/13-B-2925693212/MGII.dat	./Data/real_data/13-B-2925693212/
27	TRUE	 	 	 	2925693212	line2	./Data/real_data/13-B-2925693212/cont.dat	./Data/real_data/13-B-2925693212/CIV.dat	./Data/real_data/13-B-2925693212/
28	TRUE	 	 	 	2925707000	line1	./Data/real_data/14-B-2925707000/cont.dat	./Data/real_data/14-B-2925707000/MGII.dat	./Data/real_data/14-B-2925707000/
29	TRUE	 	 	 	2925707000	line2	./Data/real_data/14-B-2925707000/cont.dat	./Data/real_data/14-B-2925707000/CIV.dat	./Data/real_data/14-B-2925707000/
30	TRUE	 	 	 	2925718880	line1	./Data/real_data/15-B-2925718880/cont.dat	./Data/real_data/15-B-2925718880/MGII.dat	./Data/real_data/15-B-2925718880/
31	TRUE	 	 	 	2925718880	line2	./Data/real_data/15-B-2925718880/cont.dat	./Data/real_data/15-B-2925718880/CIV.dat	./Data/real_data/15-B-2925718880/
32	TRUE	 	 	 	2925786831	line1	./Data/real_data/16-B-2925786831/cont.dat	./Data/real_data/16-B-2925786831/MGII.dat	./Data/real_data/16-B-2925786831/
