5.659770249999999942e+04 1.806433257430229560e+02 1.223731953022103447e+01
5.662664600000000792e+04 2.017208822663081094e+02 8.322780017884573667e+00
5.692072466666667606e+04 8.780633667763390804e+01 1.472355692803732019e+01
5.695971349999999802e+04 1.885582921676602837e+02 1.363228716521502193e+01
5.698068499999999767e+04 1.694279237325165468e+02 7.584839432625236633e+00
5.701554750000000058e+04 1.920831767337976146e+02 1.139494945426828210e+01
5.724567900000000373e+04 1.606145066048599119e+02 9.037643339229292749e+00
5.728176699999999983e+04 1.338680814791451894e+02 1.447607381614328936e+01
5.728265099999999802e+04 2.336837743220302457e+02 1.737659077903883542e+01
5.733968125000000146e+04 1.936321608568991905e+02 1.171297837896230654e+01
5.737064949999999953e+04 2.104939083512934985e+02 7.401937765397793356e+00
5.742545766666666168e+04 1.737764337301644844e+02 8.280863169621973441e+00
5.765676699999999983e+04 2.239204095251983517e+02 2.741205565508454001e+01
5.765770266666667885e+04 1.571330986767591185e+02 5.440942183619347006e+00
5.769569099999999889e+04 1.715016523591914392e+02 5.901421005788347607e+00
5.771865700000000652e+04 1.582667970829341755e+02 8.821580969694569063e+00
5.772069249999999738e+04 1.898094405623913872e+02 1.013921362341041643e+01
5.772166475000000355e+04 1.734374922123055285e+02 4.885915585142599937e+00
5.774761250000000291e+04 1.866685907465139849e+02 6.965778269100572295e+00
5.798775466666668217e+04 1.629047033505269155e+02 1.241629486439872032e+01
5.804471333333334042e+04 1.815877022876340163e+02 5.123032278424234143e+00
5.807665400000000227e+04 1.691364420994538023e+02 5.516139806759890796e+00
5.810850599999999395e+04 1.846125982262929028e+02 1.018834932159371043e+01
5.810953299999999581e+04 1.724415065823860971e+02 5.804306339190339337e+00
5.811252949999999691e+04 1.625287270626251086e+02 1.043719976516461756e+01
5.836576999999999680e+04 1.356512125330756362e+02 1.896495668512850585e+01
5.839870799999999144e+04 1.800387367478947453e+02 6.915630872909494187e+00
5.843168233333332319e+04 1.622248932496411271e+02 6.457257122545164485e+00
